Agent,ELO,Wins,Losses,Draws,Win%
NEAT-_gen16,NEAT-_gen12,12,13,0
NEAT-_gen16,NEAT-_gen15,11,14,0
NEAT-_gen16,NEAT-_gen21,14,11,0
NEAT-_gen16,NEAT-_gen11,11,14,0
NEAT-_gen16,NEAT-_gen07,10,15,0
NEAT-_gen16,NEAT-_gen22,14,11,0
NEAT-_gen16,NEAT-_gen23,11,14,0
NEAT-_gen16,NEAT-_gen05,12,13,0
NEAT-_gen16,NEAT-_gen06,10,15,0
NEAT-_gen16,NEAT-_gen28,12,13,0
NEAT-_gen16,NEAT-_gen30,16,9,0
NEAT-_gen16,NEAT-_gen13,15,10,0
NEAT-_gen16,NEAT-_gen19,17,8,0
NEAT-_gen16,NEAT-_gen26,14,11,0
NEAT-_gen16,NEAT-_gen27,13,12,0
NEAT-_gen16,NEAT-_gen29,15,10,0
NEAT-_gen16,NEAT-_gen17,12,13,0
NEAT-_gen16,NEAT-_gen20,14,11,0
NEAT-_gen16,NEAT-_gen01_extended_20250510-091729,12,13,0
NEAT-_gen16,NEAT-_gen03_extended_20250510-091729,13,12,0
NEAT-_gen16,NEAT-_gen09_extended_20250510-091729,13,12,0
NEAT-_gen16,NEAT-_gen15_extended_20250510-091729,17,8,0
NEAT-_gen16,NEAT-_gen24_extended_20250510-091729,7,18,0
NEAT-_gen16,AlphaGo-64_g10_e3_20250325-192621,15,10,0
NEAT-_gen16,AlphaGo-128_g1000_e10_20250509-072804,14,11,0
NEAT-_gen16,AlphaGo-128_g20_e6_20250325-192146,14,11,0
NEAT-_gen16,AlphaGo-128_g20_e6_20250325-192808,16,9,0
NEAT-_gen16,AlphaGo-64_g100_e5_20250509-080406,15,10,0
NEAT-_gen16,AlphaGo-64_g10_e3_20250325-192146,16,9,0
NEAT-_gen16,AlphaGo-64_g10_e3_20250325-192808,15,10,0
NEAT-_gen16,AlphaGo-128_g20_e6_20250325-192621,17,8,0
NEAT-_gen16,AlphaGo-256_g2000_e20_20250509-080407,11,14,0
NEAT-_gen16,AlphaGo-64_g100_e5_20250509-072802,13,12,0
